,i,time
414,414,0.003818511962890625
415,415,0.005730628967285156
416,416,0.003431558609008789
417,417,0.0032346248626708984
418,418,0.006050825119018555
419,419,0.0033142566680908203
420,420,0.005919694900512695
421,421,0.0033082962036132812
422,422,0.003518342971801758
423,423,0.006741762161254883
424,424,0.003516674041748047
425,425,0.005764007568359375
426,426,0.004959821701049805
427,427,0.0031974315643310547
428,428,0.006314516067504883
429,429,0.0035467147827148438
430,430,0.00614476203918457
431,431,0.003273487091064453
432,432,0.003946065902709961
433,433,0.005750179290771484
434,434,0.003625154495239258
435,435,0.005936384201049805
436,436,0.0037407875061035156
437,437,0.003542184829711914
438,438,0.0072214603424072266
439,439,0.0034046173095703125
440,440,0.006474018096923828
441,441,0.003824949264526367
442,442,0.0034041404724121094
443,443,0.006433010101318359
444,444,0.003789663314819336
445,445,0.005975246429443359
446,446,0.003480672836303711
447,447,0.0034754276275634766
448,448,0.006581306457519531
449,449,0.0032958984375
450,450,0.006821393966674805
451,451,0.005124330520629883
452,452,0.00333404541015625
453,453,0.006425380706787109
454,454,0.0037195682525634766
455,455,0.010182619094848633
456,456,0.004738569259643555
457,457,0.00439906120300293
458,458,0.007570743560791016
459,459,0.006329774856567383
460,460,0.00737762451171875
461,461,0.0032029151916503906
462,462,0.003374338150024414
463,463,0.009199857711791992
464,464,0.003303050994873047
465,465,0.0076313018798828125
466,466,0.0045986175537109375
467,467,0.003252267837524414
468,468,0.008088827133178711
469,469,0.0037500858306884766
470,470,0.0064051151275634766
471,471,0.0033261775970458984
472,472,0.004077434539794922
473,473,0.006541013717651367
474,474,0.0033698081970214844
475,475,0.006086826324462891
476,476,0.004166841506958008
477,477,0.0033864974975585938
478,478,0.006879091262817383
479,479,0.0033960342407226562
480,480,0.006937742233276367
481,481,0.003401041030883789
482,482,0.004525899887084961
483,483,0.007084369659423828
484,484,0.0036017894744873047
485,485,0.006318092346191406
486,486,0.004335641860961914
487,487,0.004407644271850586
488,488,0.006795406341552734
489,489,0.0033330917358398438
490,490,0.006430387496948242
491,491,0.003556966781616211
492,492,0.003749847412109375
493,493,0.00661468505859375
494,494,0.0031418800354003906
495,495,0.006452798843383789
496,496,0.004079341888427734
497,497,0.003949880599975586
498,498,0.007373809814453125
499,499,0.004182100296020508
500,500,0.0071485042572021484
501,501,0.0035386085510253906
502,502,0.003145933151245117
503,503,0.007611513137817383
504,504,0.003577709197998047
505,505,0.0062024593353271484
506,506,0.0038962364196777344
507,507,0.009428024291992188
508,508,0.006638050079345703
509,509,0.007199764251708984
510,510,0.003622770309448242
